epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
8,3534.58,0.26229,0.95522,1,0.14408,0.00128192,0.00128192,0.00128192
9,3963.72,0.26336,0.94776,1,0.15202,0.00122691,0.00122691,0.00122691
10,4393.63,0.2437,0.95362,1,0.17154,0.0011719,0.0011719,0.0011719
11,4822.96,0.25048,0.95842,1,0.14279,0.00111689,0.00111689,0.00111689
12,5253.78,0.23087,0.96055,1,0.13058,0.00106188,0.00106188,0.00106188
13,5684.05,0.22721,0.95682,1,0.13999,0.00100687,0.00100687,0.00100687
14,6112.59,0.21822,0.96002,1,0.13648,0.000951857,0.000951857,0.000951857
15,6540.67,0.21208,0.95522,1,0.14459,0.000896846,0.000896846,0.000896846
16,6969.7,0.21155,0.95309,1,0.14578,0.000841835,0.000841835,0.000841835
17,7397.77,0.21294,0.96109,1,0.15795,0.000786824,0.000786824,0.000786824
18,7827.25,0.2022,0.96322,1,0.13007,0.000731813,0.000731813,0.000731813
19,8256.42,0.20327,0.95096,1,0.14943,0.000676802,0.000676802,0.000676802
20,8684.22,0.19271,0.95522,1,0.13748,0.000621791,0.000621791,0.000621791
21,9111.16,0.19152,0.95736,1,0.14658,0.00056678,0.00056678,0.00056678
22,9540.3,0.18642,0.96002,1,0.13116,0.000511769,0.000511769,0.000511769
23,9970.18,0.18245,0.95789,1,0.13394,0.000456758,0.000456758,0.000456758
24,10399.3,0.17486,0.94776,1,0.14513,0.000401747,0.000401747,0.000401747
25,10828,0.16913,0.95416,1,0.14913,0.000346736,0.000346736,0.000346736
26,11256.7,0.16399,0.95629,1,0.14094,0.000291725,0.000291725,0.000291725
27,11686.2,0.16834,0.95522,1,0.14709,0.000236714,0.000236714,0.000236714
28,12179.9,0.16317,0.95309,1,0.1458,0.000181703,0.000181703,0.000181703
